region_name,province,type,subtype
Calgary,AB,Single Family,
Maple Ridge,BC,Single Family,
North Vancouver,BC,Condo,
Surrey,BC,Single Family,
Whistler,BC,Condo,
Vancouver,BC,Condo,
Lions Bay,BC,Single Family,
Medicine Hat,AB,Single Family,
Aberdeen Rm No. 373,SK,Single Family,
Prince George,BC,Single Family,
Red Deer,AB,Single Family,
Lloydminster,AB,Single Family,
Vancouver,BC,Condo,
West Vancouver,BC,Single Family,
Grande Prairie,AB,Single Family,
Grande Prairie,AB,Single Family,
Maple Ridge,BC,Single Family,
Vancouver,BC,Condo/Townhome,
Chilliwack,BC,Condo,
Beaumont,AB,Single Family,
Parksville,BC,Townhome,
Whistler,BC,Condo/Townhome,
Burnaby,BC,Condo,
Madeira Park,BC,Single Family,
Port Alberni,BC,Single Family,
Surrey,BC,Single Family,
North Vancouver,BC,Condo,
Burnaby,BC,Single Family,
Hope,BC,Single Family,
Surrey,BC,Single Family,
Surrey,BC,Single Family,
Chilliwack,BC,Single Family,
Olds,AB,Condo,
Port Coquitlam,BC,Condo/Townhome,
Vancouver,BC,Condo,
North Battleford,SK,Single Family,
Chilliwack,BC,Condo,
Burnaby,BC,Townhome,
Surrey,BC,Single Family,
Calgary,AB,Single Family,
Spirit River,AB,Single Family,
Maple Ridge,BC,Townhome,
Vancouver,BC,Condo,
Coquitlam,BC,Condo,
Shellbrook,SK,Single Family,
Blackfalds,AB,Single Family,
Calgary,AB,Single Family,
Drumheller,AB,Single Family,
Calgary,AB,Condo,
Surrey,BC,Condo,
Vancouver,BC,Condo,
Surrey,BC,Single Family,
Calgary,AB,Condo,
Medicine Hat,AB,Single Family,
Dunmore,AB,Single Family,
West Vancouver,BC,Single Family,
Calgary,AB,Single Family,
Calgary,AB,Single Family,
Vancouver,BC,Single Family,
Halfmoon Bay,BC,Single Family,
New Westminster,BC,Condo,
Merville,BC,Single Family,
Vancouver,BC,Condo,
West Vancouver,BC,Condo,
Burnaby,BC,Condo,
Chilliwack,BC,Townhome,
New Westminster,BC,Condo,
Coquitlam,BC,Condo,
Nelson,BC,Single Family,
Balzac,AB,Single Family,
Vancouver,BC,Condo,
Qualicum Beach,BC,Single Family,
Burnaby,BC,Condo,
Burnaby,BC,Single Family,
Red Deer,AB,Condo,
Calgary,AB,Single Family,
Minburn,AB,Single Family,
Redcliff,AB,Single Family,
Courtenay,BC,Single Family,
Vancouver,BC,Single Family,
Rural Red Deer County,AB,Single Family,
Calgary,AB,Single Family,
Calgary,AB,Single Family,
Burnaby,BC,Single Family,
West Vancouver,BC,Single Family,
North Vancouver,BC,Single Family,
Calgary,AB,Condo,
Burnaby,BC,Condo,
Hope,BC,Single Family,
Burnaby,BC,Single Family,
Richmond,BC,Condo,
Burnaby,BC,Condo,
Courtenay,BC,Single Family,
Saskatoon,SK,Single Family,
North Vancouver,BC,Condo,
Mission,BC,Single Family,
Vancouver,BC,Condo,
Vancouver,BC,Condo,
Calgary,AB,Single Family,
Mission,BC,Single Family,
Comox,BC,Condo,
Qualicum Beach,BC,Single Family,
North Vancouver,BC,Single Family,
Rural Bonnyville M.D.,AB,Single Family,
Courtenay,BC,Manufactured Home,
Medicine Hat,AB,Single Family,
Vancouver,BC,Townhome,
Surrey,BC,Condo,
Lethbridge,AB,Single Family,
Lantzville,BC,Single Family,
Saskatoon,SK,Condo/Townhome,
Squamish,BC,Single Family,
New Westminster,BC,Condo,
Calgary,AB,Single Family,
Courtenay,BC,Single Family,
North Vancouver,BC,Condo,
North Battleford Rm No. 437,SK,Single Family,
Nanaimo,BC,Townhome,
Maple Ridge,BC,Single Family,
Burnaby,BC,Condo,
Vancouver,BC,Townhome,
New Westminster,BC,Single Family,
Port Coquitlam,BC,Condo/Townhome,
Calgary,AB,Single Family,
Vancouver,BC,Condo,
Port Alberni,BC,Single Family,
Saskatoon,SK,Single Family,
Calgary,AB,Single Family,
Whistler,BC,Condo/Townhome,
Squamish,BC,Single Family,
Vancouver,BC,Single Family,
North Vancouver,BC,Condo,
Burnaby,BC,Condo,
Surrey,BC,Single Family,
Chestermere,AB,Duplex,
Vancouver,BC,Condo,
Surrey,BC,Townhome,
Vancouver,BC,Condo,
Calgary,AB,Condo,
Vancouver,BC,Condo,
Nanaimo,BC,Condo,
Vancouver,BC,Single Family,
Sechelt,BC,Manufactured Home,
Vancouver,BC,Townhome,
Calgary,AB,Single Family,
North Vancouver,BC,Condo,
Vancouver,BC,Condo,
Burnaby,BC,Condo,
Richmond,BC,Single Family,
Vancouver,BC,Duplex,
Grande Prairie,AB,Duplex,
Red Deer,AB,Single Family,
Burnaby,BC,Condo/Townhome,
Vancouver,BC,Condo,
Vancouver,BC,Condo,
Vancouver,BC,Single Family,
Nanaimo,BC,Condo,
Parksville,BC,Duplex,
Turtle Lake,SK,Single Family,
Vancouver,BC,Condo,
North Battleford,SK,Single Family,
Nanaimo,BC,Condo,
West Vancouver,BC,Single Family,
St. Albert,AB,Townhome,
Calgary,AB,Duplex,
Medicine Hat,AB,Single Family,
Prince Albert,SK,Single Family,
Vancouver,BC,Condo,
Calgary,AB,Condo,
Calgary,AB,Single Family,
Calgary,AB,Condo,
Richmond,BC,Single Family,
Bowen Island,BC,Single Family,
