region_name,province,avg_price,year
Calgary,AB,639900.0,2024
Spruce Grove,AB,699000.0,2024
Rural Clearwater County,AB,495000.0,2024
Vancouver,BC,644900.0,2024
Agassiz,BC,525000.0,2024
Nanoose Bay,BC,748888.0,2024
Saskatoon,SK,299000.0,2024
Rosetown,SK,259900.0,2024
Sylvan Lake,AB,309900.0,2024
Saskatoon,SK,289900.0,2024
Surrey,BC,458000.0,2024
Rural Rocky View County,AB,484400.0,2024
Saskatoon,SK,459900.0,2024
Calgary,AB,340000.0,2024
Calgary,AB,599900.0,2024
Saskatoon,SK,649900.0,2024
Calgary,AB,540000.0,2024
Campbell River,BC,969900.0,2024
Port Alberni,BC,815000.0,2024
Cold Lake,AB,629900.0,2024
Saskatoon,SK,349900.0,2024
"Rural Stettler No. 6, County of",AB,597000.0,2024
Calgary,AB,259000.0,2024
Saskatoon,SK,300000.0,2024
Saskatoon,SK,524900.0,2024
Martensville,SK,319900.0,2024
Vancouver,BC,769000.0,2024
Calgary,AB,269000.0,2024
Saskatoon,SK,229900.0,2024
Calgary,AB,199900.0,2024
Lethbridge,AB,559900.0,2024
Rural Lacombe County,AB,629900.0,2024
North Battleford Rm No. 437,SK,219900.0,2024
Vancouver,BC,2298000.0,2024
Calgary,AB,325900.0,2024
Calgary,AB,1100000.0,2024
Langdon,AB,839900.0,2024
Kamloops,BC,585000.0,2024
Fort St. John,BC,249900.0,2024
Saskatoon,SK,349900.0,2024
Nelson,BC,1059000.0,2024
Kelowna,BC,879900.0,2024
Kelowna,BC,665000.0,2024
Kamloops,BC,375000.0,2024
Kelowna,BC,1488000.0,2024
Calgary,AB,424800.0,2024
Prince George,BC,339000.0,2024
Golden,BC,879000.0,2024
Kamloops,BC,659900.0,2024
Kelowna,BC,289900.0,2024
Lloydminster,AB,424900.0,2024
Williams Lake,BC,550000.0,2024
Williams Lake,BC,535000.0,2024
Fort St. John,BC,690000.0,2024
McBride,BC,462500.0,2024
Calgary,AB,609000.0,2024
Kimberley,BC,999900.0,2024
Kelowna,BC,959900.0,2024
Kamloops,BC,1499900.0,2024
Mission,BC,1395000.0,2024
Kelowna,BC,725000.0,2024
Burnaby,BC,999888.0,2024
Rural,SK,599900.0,2024
Cranbrook,BC,399000.0,2024
Tappen,BC,1299900.0,2024
Vancouver,BC,499000.0,2024
Kelowna,BC,998000.0,2024
Calgary,AB,597900.0,2024
Port Moody,BC,1649000.0,2024
Prince George,BC,569900.0,2024
108 Mile Ranch,BC,349000.0,2024
