,region_name,year,avg_income,province
527,"Salaberry-de-Valleyfield (CA), Que.",2015,55200,
530,"Sept-Îles (CA), Que.",2020,79000,
531,"Sept-Îles (CA), Que.",2015,72500,
534,"Sept-Îles (CA), Que.",2020,79000,
535,"Sept-Îles (CA), Que.",2015,72500,
538,"Sept-Îles (CA), Que.",2020,79000,
539,"Sept-Îles (CA), Que.",2015,72500,
542,"Shawinigan (CA), Que.",2020,53600,
543,"Shawinigan (CA), Que.",2015,48400,
546,"Shawinigan (CA), Que.",2020,53600,
547,"Shawinigan (CA), Que.",2015,48400,
550,"Shawinigan (CA), Que.",2020,53600,
551,"Shawinigan (CA), Que.",2015,48400,
554,"Sherbrooke (CMA), Que.",2020,65000,
555,"Sherbrooke (CMA), Que.",2015,58000,
558,"Sherbrooke (CMA), Que.",2020,65000,
559,"Sherbrooke (CMA), Que.",2015,58000,
562,"Sherbrooke (CMA), Que.",2020,65000,
563,"Sherbrooke (CMA), Que.",2015,58000,
566,"Sorel-Tracy (CA), Que.",2020,61600,
567,"Sorel-Tracy (CA), Que.",2015,56000,
570,"Sorel-Tracy (CA), Que.",2020,61600,
571,"Sorel-Tracy (CA), Que.",2015,56000,
574,"Sorel-Tracy (CA), Que.",2020,61600,
575,"Sorel-Tracy (CA), Que.",2015,56000,
578,"Thetford Mines (CA), Que.",2020,57200,
579,"Thetford Mines (CA), Que.",2015,52000,
582,"Thetford Mines (CA), Que.",2020,57200,
583,"Thetford Mines (CA), Que.",2015,52000,
586,"Thetford Mines (CA), Que.",2020,57200,
587,"Thetford Mines (CA), Que.",2015,52000,
590,"Trois-Rivières (CMA), Que.",2020,62400,
591,"Trois-Rivières (CMA), Que.",2015,56000,
594,"Trois-Rivières (CMA), Que.",2020,62400,
595,"Trois-Rivières (CMA), Que.",2015,56000,
598,"Trois-Rivières (CMA), Que.",2020,62400,
599,"Trois-Rivières (CMA), Que.",2015,56000,
602,"Val-d'Or (CA), Que.",2020,74500,
603,"Val-d'Or (CA), Que.",2015,69000,
606,"Val-d'Or (CA), Que.",2020,74500,
607,"Val-d'Or (CA), Que.",2015,69000,
610,"Val-d'Or (CA), Que.",2020,74500,
611,"Val-d'Or (CA), Que.",2015,69000,
614,"Victoriaville (CA), Que.",2020,63200,
615,"Victoriaville (CA), Que.",2015,57200,
618,"Victoriaville (CA), Que.",2020,63200,
619,"Victoriaville (CA), Que.",2015,57200,
622,"Victoriaville (CA), Que.",2020,63200,
623,"Victoriaville (CA), Que.",2015,57200,
626,Ontario,2020,91000,ON
627,Ontario,2015,80000,ON
630,Ontario,2020,91000,ON
631,Ontario,2015,80000,ON
634,Ontario,2020,91000,ON
635,Ontario,2015,80000,ON
638,"Barrie (CMA), Ont.",2020,97000,
639,"Barrie (CMA), Ont.",2015,87000,
642,"Barrie (CMA), Ont.",2020,97000,
643,"Barrie (CMA), Ont.",2015,87000,
646,"Barrie (CMA), Ont.",2020,97000,
647,"Barrie (CMA), Ont.",2015,87000,
650,"Belleville - Quinte West (CMA), Ont.",2020,78000,
651,"Belleville - Quinte West (CMA), Ont.",2015,69000,
654,"Belleville - Quinte West (CMA), Ont.",2020,78000,
655,"Belleville - Quinte West (CMA), Ont.",2015,69000,
658,"Belleville - Quinte West (CMA), Ont.",2020,78000,
659,"Belleville - Quinte West (CMA), Ont.",2015,69000,
662,"Brantford (CMA), Ont.",2020,85000,
663,"Brantford (CMA), Ont.",2015,74500,
666,"Brantford (CMA), Ont.",2020,85000,
667,"Brantford (CMA), Ont.",2015,74500,
670,"Brantford (CMA), Ont.",2020,85000,
671,"Brantford (CMA), Ont.",2015,74500,
674,"Brockville (CA), Ont.",2020,70500,
675,"Brockville (CA), Ont.",2015,62800,
678,"Brockville (CA), Ont.",2020,70500,
679,"Brockville (CA), Ont.",2015,62800,
682,"Brockville (CA), Ont.",2020,70500,
683,"Brockville (CA), Ont.",2015,62800,
686,"Centre Wellington (CA), Ont.",2020,101000,
687,"Centre Wellington (CA), Ont.",2015,92000,
690,"Centre Wellington (CA), Ont.",2020,101000,
691,"Centre Wellington (CA), Ont.",2015,92000,
694,"Centre Wellington (CA), Ont.",2020,101000,
695,"Centre Wellington (CA), Ont.",2015,92000,
698,"Chatham-Kent (CA), Ont.",2020,71500,
699,"Chatham-Kent (CA), Ont.",2015,62800,
702,"Chatham-Kent (CA), Ont.",2020,71500,
703,"Chatham-Kent (CA), Ont.",2015,62800,
706,"Chatham-Kent (CA), Ont.",2020,71500,
707,"Chatham-Kent (CA), Ont.",2015,62800,
710,"Cobourg (CA), Ont.",2020,77000,
711,"Cobourg (CA), Ont.",2015,69500,
714,"Cobourg (CA), Ont.",2020,77000,
715,"Cobourg (CA), Ont.",2015,69500,
718,"Cobourg (CA), Ont.",2020,77000,
719,"Cobourg (CA), Ont.",2015,69500,
722,"Collingwood (CA), Ont.",2020,82000,
723,"Collingwood (CA), Ont.",2015,69500,
726,"Collingwood (CA), Ont.",2020,82000,
727,"Collingwood (CA), Ont.",2015,69500,
730,"Collingwood (CA), Ont.",2020,82000,
731,"Collingwood (CA), Ont.",2015,69500,
734,"Cornwall (CA), Ont.",2020,65500,
735,"Cornwall (CA), Ont.",2015,56000,
738,"Cornwall (CA), Ont.",2020,65500,
739,"Cornwall (CA), Ont.",2015,56000,
742,"Cornwall (CA), Ont.",2020,65500,
743,"Cornwall (CA), Ont.",2015,56000,
746,"Elliot Lake (CA), Ont.",2020,50000,
747,"Elliot Lake (CA), Ont.",2015,46000,
750,"Elliot Lake (CA), Ont.",2020,50000,
751,"Elliot Lake (CA), Ont.",2015,46000,
754,"Elliot Lake (CA), Ont.",2020,50000,
755,"Elliot Lake (CA), Ont.",2015,46000,
758,"Essa (CA), Ont.",2020,108000,
759,"Essa (CA), Ont.",2015,94000,
762,"Essa (CA), Ont.",2020,108000,
763,"Essa (CA), Ont.",2015,94000,
766,"Essa (CA), Ont.",2020,108000,
767,"Essa (CA), Ont.",2015,94000,
770,"Greater Sudbury (CMA), Ont.",2020,84000,
771,"Greater Sudbury (CMA), Ont.",2015,77500,
774,"Greater Sudbury (CMA), Ont.",2020,84000,
775,"Greater Sudbury (CMA), Ont.",2015,77500,
778,"Greater Sudbury (CMA), Ont.",2020,84000,
779,"Greater Sudbury (CMA), Ont.",2015,77500,
782,"Guelph (CMA), Ont.",2020,97000,
783,"Guelph (CMA), Ont.",2015,88000,
786,"Guelph (CMA), Ont.",2020,97000,
787,"Guelph (CMA), Ont.",2015,88000,
790,"Guelph (CMA), Ont.",2020,97000,
791,"Guelph (CMA), Ont.",2015,88000,
794,"Hamilton (CMA), Ont.",2020,91000,
795,"Hamilton (CMA), Ont.",2015,82000,
798,"Hamilton (CMA), Ont.",2020,91000,
799,"Hamilton (CMA), Ont.",2015,82000,
802,"Hamilton (CMA), Ont.",2020,91000,
803,"Hamilton (CMA), Ont.",2015,82000,
806,"Hawkesbury (CA), Ont./Que.",2020,53600,
807,"Hawkesbury (CA), Ont./Que.",2015,46000,
810,"Hawkesbury (CA), Ont./Que.",2020,53600,
811,"Hawkesbury (CA), Ont./Que.",2015,46000,
814,"Hawkesbury (CA), Ont./Que.",2020,53600,
815,"Hawkesbury (CA), Ont./Que.",2015,46000,
818,"Ingersoll (CA), Ont.",2020,88000,
819,"Ingersoll (CA), Ont.",2015,80000,
822,"Ingersoll (CA), Ont.",2020,88000,
823,"Ingersoll (CA), Ont.",2015,80000,
826,"Ingersoll (CA), Ont.",2020,88000,
827,"Ingersoll (CA), Ont.",2015,80000,
830,"Kawartha Lakes (CA), Ont.",2020,82000,
831,"Kawartha Lakes (CA), Ont.",2015,72500,
834,"Kawartha Lakes (CA), Ont.",2020,82000,
835,"Kawartha Lakes (CA), Ont.",2015,72500,
838,"Kawartha Lakes (CA), Ont.",2020,82000,
839,"Kawartha Lakes (CA), Ont.",2015,72500,
842,"Kenora (CA), Ont.",2020,86000,
843,"Kenora (CA), Ont.",2015,79500,
846,"Kenora (CA), Ont.",2020,86000,
847,"Kenora (CA), Ont.",2015,79500,
850,"Kenora (CA), Ont.",2020,86000,
851,"Kenora (CA), Ont.",2015,79500,
854,"Kingston (CMA), Ont.",2020,83000,
855,"Kingston (CMA), Ont.",2015,77000,
858,"Kingston (CMA), Ont.",2020,83000,
859,"Kingston (CMA), Ont.",2015,77000,
862,"Kingston (CMA), Ont.",2020,83000,
863,"Kingston (CMA), Ont.",2015,77000,
866,"Kitchener - Cambridge - Waterloo (CMA), Ont.",2020,92000,
867,"Kitchener - Cambridge - Waterloo (CMA), Ont.",2015,84000,
870,"Kitchener - Cambridge - Waterloo (CMA), Ont.",2020,92000,
871,"Kitchener - Cambridge - Waterloo (CMA), Ont.",2015,84000,
874,"Kitchener - Cambridge - Waterloo (CMA), Ont.",2020,92000,
875,"Kitchener - Cambridge - Waterloo (CMA), Ont.",2015,84000,
